Campaign Name,Subject,List,Send Time,Send Weekday,Total Recipients,Unique Placed Order,Placed Order Rate,Revenue,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Spam Complaints,Spam Complaints Rate,Successful Deliveries,Bounces,Bounce Rate,Campaign ID,Campaign Channel
NLE_250101_what-really-happens-to-your-skin-during-winter_engaged-profiles-180-days,Winter dimming your glow?,"NLE - Engaged Profiles (120 - 180 Days) No Overlap, NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/1/1 9:00,Wednesday,120741,112,0.09%,13387.47,63528,52.68%,85279,591,0.49%,1004,318,18,0.01%,120589,152,0.13%,01JEP5AVKWH86JHCY8K404ZKZA,Email
NLE_250104_melissa-lawrence-customer-testimonial_engaged-profiles-180-days,Do you know Melissa? ,"NLE - Engaged Profiles (120 - 180 Days) No Overlap, NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/1/4 9:00,Saturday,120020,126,0.10%,13357.46,67331,56.17%,92230,747,0.62%,2336,412,28,0.02%,119877,143,0.12%,01JEP5EYVZQPEWCV9BTHD543GW,Email
NLE_250108_did-you-know-why-skin-ages-faster-in-winter_engaged-profiles-180-days,Does winter age your skin quicker? ,"NLE - Engaged Profiles (120 - 180 Days) No Overlap, NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/1/8 9:00,Wednesday,119044,105,0.09%,12546.47,61853,52.02%,83529,606,0.51%,1107,315,17,0.01%,118900,144,0.12%,01JEP5H5K2S241ETG85CEAG1YK,Email
NLE_250110_confidence-unfiltered_engaged-profiles-180-days,"No filter, no problem,",NLE - Engaged Profiles (120 - 180 Days) No Overlap NLE - Engaged Profiles (120 Days) No Overlap,2025/1/10 9:00,Friday,119661,101,0.08%,13037.37,65551,54.85%,90201,503,0.42%,883,284,27,0.02%,119508,153,0.13%,01JEP5JYRC0S52MGGY42B7KQJD,Email
NLE_250113_future-proof-your-skin-next-gen-peptide-formulas_engaged-profiles-180-days,How to future-proof your glow",NLE - Engaged Profiles (120 - 180 Days) No Overlap NLE - Engaged Profiles (120 Days) No Overlap,2025/1/13 9:00,Monday,119750,66,0.06%,7320.44,65091,54.42%,89851,386,0.32%,650,302,26,0.02%,119613,137,0.11%,01JEP5MVY35RJMGT29VKWASESR,Email
NLE_250115_reclaim-your-radiance_engaged-profiles-180-days,It's self-care season!,"""NLE - Engaged Profiles (120 - 180 Days) No Overlap NLE - Engaged Profiles (120 Days) No Overlap",2025/1/15 9:00,Wednesday,119389,67,0.06%,6618.21,64976,54.48%,90083,353,0.30%,554,285,24,0.02%,119264,125,0.10%,01JEP5PATS7GFXV3B8Z57YWM49,Email
NLE_250117_your-glow-up-map_engaged-profiles-180-days,Are you good with directions? ,"NLE - Engaged Profiles (120 - 180 Days) No Overlap, NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/1/17 9:00,Friday,118376,50,0.04%,5868.93,64255,54.34%,89836,377,0.32%,618,247,15,0.01%,118253,123,0.10%,01JEP5QQTKW6G85TAN0N70ZJKC,Email
NLE_250119_hot-girl-hibernation_engaged-profiles-180-days,It's hot girl hibernation season!,"""NLE - Engaged Profiles (120 - 180 Days) No Overlap NLE - Engaged Profiles (120 Days) No Overlap",2025/1/19 9:00,Sunday,117690,105,0.09%,10578.88,65001,55.29%,91105,687,0.58%,1931,321,18,0.01%,117555,135,0.11%,01JEV5T30V9B66VQCSKVWF50SS,Email
NLE_250123_one-serum-infinite-possibilities_engaged-profiles-120-days,"One serum, infinite possibilities,",NLE - Engaged Profiles (120 Days) No Overlap NLE - Engaged Profiles (30 Days),2025/1/23 9:00,Thursday,112134,68,0.06%,7565.27,64673,57.75%,90780,482,0.43%,761,233,40,0.04%,111990,144,0.13%,01JEV5RG1ZSVZXJQSHG5J74J3X,Email
NLE_250125_nighttime-renewal-retinol-for-the-win_engaged-profiles-120-days,"Go to sleep, wake up glowing,",NLE - Engaged Profiles (120 Days) No Overlap NLE - Engaged Profiles (30 Days),2025/1/25 9:00,Saturday,111344,82,0.07%,9826.74,65743,59.12%,93473,525,0.47%,793,218,24,0.02%,111199,145,0.13%,01JEV5NKNRYZ1FB19AXAA2E78E,Email
